"","lat","long","gps_precision","lga","zone","state","id","name","sector"
"117",6.68799161911011,7.93516516685486,4,"Ado","north_central","BENUE","207058","Lgea Pry.Sch. Okpogila 1 Agila","education"
"118",6.83020770549774,8.13001155853271,4,"Ado","north_central","BENUE","207058","Ube Jss Ekile","education"
"119",6.75084114074707,8.15150678157806,4,"Ado","north_central","BENUE","207058","Lgea Primary School Nsura","education"
"120",6.96745634078979,8.18003475666046,4,"Ado","north_central","BENUE","207058","L G E A Prim Sch, Alikpe","education"
"121",6.74225807189941,8.00290167331696,4,"Ado","north_central","BENUE","207058","L G E A Prim Sch Okpere, Ulayi","education"
"122",6.88199579715729,7.99591720104218,2,"Ado","north_central","BENUE","207058","Lgea Pri. Sch. Alomo Rijo","education"
"123",6.65369689464569,7.9516339302063,4,"Ado","north_central","BENUE","207058","L G E A Oja Ala","education"
"124",6.60881280899048,7.90633141994476,4,"Ado","north_central","BENUE","207058","Lga Pri Sch Ogbokwu","education"
"125",6.77543699741364,8.08144211769104,4,"Ado","north_central","BENUE","207058","Lgea Prim Sch Ijigban Center 2","education"
"126",6.85650944709778,8.06667923927307,4,"Ado","north_central","BENUE","207058","Lgea Pry. Sch. Okwasi Rijo","education"
"127",6.71285569667816,7.91994094848633,4,"Ado","north_central","BENUE","207058","Lgea Pri. Sch. Ole Okibe","education"
"128",6.80164754390717,8.24003577232361,4,"Ado","north_central","BENUE","207058","Lgea Pri. Sch. Alomo","education"
"129",6.80493593215942,8.15673172473907,6,"Ado","north_central","BENUE","207058","Ube Junior Secondary Sch. Onyene Ekile","education"
"130",6.84516370296478,8.1485778093338,4,"Ado","north_central","BENUE","207058","Lgea Pry.Sch. Iyoma Ekile","education"
"131",6.92851603031158,8.10951411724091,4,"Ado","north_central","BENUE","207058","Lgea Primary School Udebo Igba","education"
"132",6.73974752426147,8.04929852485657,4,"Ado","north_central","BENUE","207058","Lgea Pry.Sch . Usukpotu Ulayi","education"
"133",6.77712142467499,7.96765744686127,4,"Ado","north_central","BENUE","207058","Methodist High Sch Igumale","education"
"134",6.72380447387695,7.97442197799683,4,"Ado","north_central","BENUE","207058","Lgea Pry. Sch. Ogbulokuta","education"
"135",6.74310564994812,7.90877759456635,4,"Ado","north_central","BENUE","207058","St Michael College Apa Agila","education"
"136",6.94776356220245,8.04297387599945,4,"Ado","north_central","BENUE","207058","King David Academy Ukwonyo Utonkon","education"
"137",6.78804874420166,7.97000706195831,4,"Ado","north_central","BENUE","207058","Lga Enyionubi","education"
"138",6.67672634124756,7.90195405483246,4,"Ado","north_central","BENUE","207058","Lgea Pri. Sch. Ivetse","education"
"139",6.60263299942017,7.90766716003418,4,"Ado","north_central","BENUE","207058","Lgea Pri Sch","education"
"140",6.94919049739838,8.03759336471558,4,"Ado","north_central","BENUE","207058","Rich Steve Academy Ukwonyo","education"
"141",6.97233259677887,8.09316873550415,4,"Ado","north_central","BENUE","207058","Lgea Prim. Sch. Ijokpro","education"
"142",6.73636257648468,8.07588458061218,4,"Ado","north_central","BENUE","207058","Lgea Prim. Sch. Ekka","education"
"143",6.92708373069763,8.06885719299316,4,"Ado","north_central","BENUE","207058","Lgea Prim. Sch. Otuolo Centre","education"
"144",6.71435236930847,7.94842064380646,4,"Ado","north_central","BENUE","207058","Okpobla Ll","education"
"145",6.97167813777924,8.13464641571045,4,"Ado","north_central","BENUE","207058","U B E Ojenyo Centre","education"
"146",2.06196427345276,-2.2410660982132,192,"Ado","north_central","BENUE","207058","Lgea Pri Sch Okpako/Bom","education"
"147",6.77646696567535,8.08993399143219,4,"Ado","north_central","BENUE","207058","Ube Junior Sec Sch Ijigban Center 1","education"
"148",6.94864869117737,8.03576946258545,4,"Ado","north_central","BENUE","207058","St Pauls Prim. Sch. Utonkon","education"
"149",6.6118061542511,7.90779590606689,3,"Ado","north_central","BENUE","207058","Lgea Pri Sch","education"
